project_id,check_oss_requirements,gas_fees,transaction_count,trusted_transaction_count,trusted_transaction_share,trusted_users_onboarded,daily_active_addresses,trusted_daily_active_users,monthly_active_addresses,trusted_monthly_active_users,recurring_addresses,trusted_recurring_users,power_user_addresses
IBSH7dQG0hSQE6oJo9G_xrHxhW4wUt8iiYGn2Ob65c8=,False,0.8471518958,23297,1125,0.04828947933,1,36.8,2.289361702,600.9876543,39.38271605,302,23,458
H1DdvseIeFYJUwYwfSNvsXvbgxfwasspZw2MT3Apkfg=,True,64.48878623,2087910,102827,0.0492487703,397,2414.42,187.093617,27504.44,1975.19,20037,1891,6169
4ARwDn4G8TDYaA-IADNZk2u0EcprJ7MxGKYge7spfaM=,True,1.190930794,31566,1555,0.04926186403,14,20.84680851,3.85106383,479.8765432,79.75308642,90,39,255
Y6BohTU6jJvc4HcCFaKcphCrPy6uYyWTYo00gCatUrE=,False,5.764652779,153953,7630,0.04956058018,46,222.9659574,13.17021277,3140,213.4567901,2466,147,1917
2zEzY32slzJJWUyPMElMOWuczCBWRl7EZdeR8Kz8i-Q=,True,6.86380682,152500,7596,0.04980983607,72,491.9489362,26.70638298,11162.22,486.9135802,6125,379,1468
XSDgPwFuQVcj57ARcKTGrm2w80KKlqJxaBWF6jZqe7w=,True,54.79180126,1119085,57435,0.0513231792,1777,2569.98,172.1319149,51753.33,3141.73,27291,3029,5151
cUYiKW4fvU0EitC8ndH9amB3y3wlwxp8Fgp4fIzJXyI=,False,3.026979637,13212,682,0.05161973963,1,11.3787234,1.914893617,240.2469136,50.86419753,69,9,459
z8tthwrZkWh__i4RMQgeCDItQczDDToA956uivAsPBE=,False,0.9115085484,41906,2193,0.05233140839,69,84.0893617,8.272340426,2168.40,210.9876543,227,47,1057
K3XwWcHnGuoik2XEbnqgku5jl6s-agyNWXVPnc9qbt4=,False,7.804527071,19071,1011,0.05301242725,4,36.63404255,3.378723404,751.6049383,83.82716049,349,31,1127
FdCd2urr-h9ej31OQ7lEzyjwrqvNiKkzbbGbfV8snfo=,False,0.2072755685,33048,1769,0.0535282014,17,129.7489362,7.391489362,2073.33,134.3209877,412,16,568
lq6YieTSPvSZ30Ko754V8VQMqVYbi5GAR928Y8Jok88=,False,36.11391771,299121,16859,0.05636180676,575,796.4297872,58.77021277,17878.52,970.617284,4939,711,3309
jEwXVxDdBJ7TGKYlbAWvoLKqCjFY_iuzY7PabwtIoF8=,True,2.534969389,179464,10188,0.0567690456,13,227.2042553,12.19574468,5222.72,299.382716,4536,299,824
6lg5zQJ4GYDjvO5NvVAfPBWuxNgOeEcLAfcL01ws5Us=,True,0.4410923087,39285,2257,0.05745195367,42,142.4510638,8.340425532,3604.32,176.4197531,1071,123,996
EBGuilPthpdMOlNWYPk9oqVOOlRLkK_goRnRRDjMRMg=,True,4.699337879,108985,6324,0.0580263339,170,259.7106383,23.1106383,5168.27,443.5802469,1776,248,2444
LNQR7by2d4x_GcRrl47_US9ZJ1j12JkObQoxSG6oUlM=,True,0.8293192637,146467,8609,0.05877774516,281,272.8212766,17.95319149,6235.43,395.4320988,670,89,1545
xGlgorYroSBvnL8aSeh_jNsdOZD7vyPX6kJRv5tIQPk=,True,1.134530283,3163,190,0.06006955422,23,9.144680851,0.6340425532,226.2962963,16.54320988,2,0,33
11awWpg5oXXnNqdmx79GbUOXhE5puhu9dQYnKb_4aoA=,False,0.2925406538,7506,464,0.0618172129,2,21.34042553,1.489361702,434.9382716,37.16049383,183,10,480
oj9ThrFF3vIYbKto6vxshHVZ5l5FDoKvZ5lxZOrQtOg=,False,0.1653623124,9129,575,0.06298608829,94,37.06382979,2.353191489,1074.20,68.27160494,0,0,327
m3u9RgYlYchemnTKZDZSZV9xLGReVz_KGG5sV0tIrUE=,True,0.1275020236,30917,2018,0.06527153346,30,97.85957447,6.69787234,2080,150.617284,1094,91,1972
R557uIAkqgPzgzpItTOy1G3hq6JGvQEpWqXxib2qqPU=,True,2.202867669,24011,1570,0.06538669776,2,39.0212766,3.595744681,698.8888889,81.2345679,274,33,876
AMs11l6c3oONHu7hA9AeXzEamcuHp7cIEfUt0mRN8g8=,True,1.879726183,58253,4066,0.06979898031,169,122.8808511,14.8,2839.01,327.2839506,513,66,1789
